매크로명,대분류,중분류,소분류,질문 카테고리,모범 답안
,시술정보,시력정보,라식스마일추천,근시 550도 난시 200도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 550도 난시 250도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 600도 난시 200도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 600도 난시 250도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 600도 난시 300도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 550도 난시 300도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 450도 난시 250도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 450도 난시 300도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 600도 난시 150도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 650도 난시 150도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 650도 난시 200도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 650도 난시 250도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 650도 난시 300도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라식스마일추천,근시 650도 난시 350도,"네, 고객님. 해당 시력은 Lasik 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
시술정보_시력정보_라섹스마일추천,시술정보,시력정보,라섹스마일추천,근시 700도 난시 100도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 700도 난시 150도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 700도 난시 200도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 700도 난시 250도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 700도 난시 300도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 700도 난시 350도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 700도 난시 400도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 750도 난시 100도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 750도 난시 150도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 750도 난시 200도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 750도 난시 250도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 750도 난시 300도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 750도 난시 350도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹스마일추천,근시 750도 난시 400도,"네, 고객님. 해당 시력은 Lasek 또는 Smile Lasik 이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
시술정보_시력정보_라섹ICL추천,시술정보,시력정보,라섹ICL추천,근시 800도 난시 100도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 800도 난시 150도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 800도 난시 200도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 800도 난시 250도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 800도 난시 300도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 800도 난시 350도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 800도 난시 400도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 850도 난시 100도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 850도 난시 150도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 850도 난시 200도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 850도 난시 250도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 850도 난시 300도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 850도 난시 350도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 850도 난시 400도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 900도 난시 100도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 900도 난시 150도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 900도 난시 200도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 900도 난시 250도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 900도 난시 300도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 900도 난시 350도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 900도 난시 400도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 950도 난시 100도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
,시술정보,시력정보,라섹ICL추천,근시 950도 난시 150도,"네, 고객님. 해당 시력은 Lasek 또는 ICL 렌즈삽입술이 적합합니다! 근시와 난시 함께 치료가 가능합니다.
각막두께가 얇은편이라면 Lasek을 더 추천드립니다!
고객님의 각막 두께, 모양, 동공 크기 등 50여 가지 정밀 검사 결과를 종합적으로 분석해야 가장 안전하고 효과적인 수술 방법을 추천해 드릴 수 있습니다. 
내원하시어 정밀 검사와 전문의 상담을 받아보시는 것을 권장합니다.
고객님께서는 어떤 수술을 생각하고 계실까요?"
